item,apresentacao,quantidade,validade
"SISTEMA DE ACABAMENTO E POLIMENTO SÉRIE LARANJA (grosso, médio, fino e super fino)",Caixa com 120,3,
SLIDE,Caixa com 50,1,
SONDA MILIMETRADA WILLIANS,Unidade,2,
SUGADOR ODONTOLÓGICO DESCARTÁVEL,Pacote com 40,25,10/2025
SUGADOR ODONTOLÓGICO DESCARTÁVEL,Pacote com 40,30,
SUPORTE PARA RESINAS,Unidade,1,
TAÇA PARA PROFILAXIA,Unidade,89,
TERMÔMETRO INFRAVERMELHO,Unidade,1,
TESOURA INSTRUMENTAL PONTA CURVA 12CM DE AÇO,Unidade,3,
TESOURA INSTRUMENTAL PONTA CURVA E FINA HASTE RETA DE AÇO,Unidade,10,
TESTE DE VITALIDADE EM SPRAY,Frasco com 200ml,1,08/2027
TESTE DE VITALIDADE EM SPRAY,Frasco com 200ml,5,10/2027
TIRAS ABRASIVAS 4MMx140MM,Pacote com 12,46,
"TIRAS ABRASIVAS DE AÇO 4,0X140 MM",Caixa com 12,2,
TIRAS ABRASIVAS DE AÇO 6 MM,Caixa com 12,10,
TIRAS ABRASIVAS DE AÇO 6 MM,Caixa com 12,10,
"TIRAS DE LIXA DE POLIÉSTER 4,0X170 MM",Caixa com 150,4,
"TIRAS DE LIXA DE POLIÉSTER 4,0X170 MM",Caixa com 50,14,
"TIRAS DE LIXA DE POLIÉSTER 4,0X170 MM",Caixa com 150,10,
"TIRAS DE LIXA DE POLIÉSTER 4,0X170 MM",Caixa com 50,14,
TIRAS DE POLIÉSTER PARA ACABAMENTO E POLIMENTO,Caixa com 50,30,
TIRAS DE POLIÉSTER PARA ACABAMENTO E POLIMENTO,Caixa com 50,32,
"TIRAS DE POLIÉSTER PARA ACABAMENTO E POLIMENTO 10x120x0,05MM",Caixa com 50,17,
"TIRAS DE POLIÉSTER PARA ACABAMENTO E POLIMENTO 10x120x0,05MM",Caixa com 50,17,
TOUCA DESCARTÁVEL,Pacote com 100,104,05/2029
TOUCA DESCARTÁVEL,Pacote com10,0,12/2025
TOUCA DESCARTÁVEL,pacote com 100,3,04/2027
TRICROSOL FORMALINA,Frasco com 10ml,1,06/2027
VÁLVULA P/ APARELHO DE PRESSÃO ANEROIDE PREMIUM,Unidade,4,
VÁLVULA P/ APARELHO DE PRESSÃO ANEROIDE PREMIUM,Unidade,4,
VERNIZ CAVITÁRIO,Frasco com 10ml,1,02/2026
VERNIZ CAVITÁRIO,Frasco com 10ml,6,03/2027
